Id,Start,Name,Impact,Currency
243ad711-1c9d-4f7a-a8a8-8c0598b7cc16,07/06/2022 18:00:00,FOMC Minutes,HIGH,USD
64437a80-946e-4546-86d1-db9052494f68,07/13/2022 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
60a36a5a-7c03-41cb-bcc6-829c3996221b,07/13/2022 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
8758cc99-0cff-4adc-af12-1e749fbc6fa0,07/27/2022 18:00:00,Fed Interest Rate Decision,HIGH,USD
671994d3-e6f5-4a02-ad5b-1637ba613830,07/27/2022 18:00:00,Fed's Monetary Policy Statement,HIGH,USD
a85d1d5c-286a-490a-a2ec-a08795e4d88f,07/27/2022 18:30:00,FOMC Press Conference,HIGH,USD
dcac5f41-b546-4e93-8b71-e6c30f6c4f26,08/02/2022 23:30:00,President Biden speech,HIGH,USD
a1c266a3-2896-4804-92b0-9ae4b15b82f4,08/10/2022 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
33e6e444-d206-44c7-8822-577ada4ac9ab,08/10/2022 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
265296db-c6fe-4d44-acfe-9b3e72237fd9,08/17/2022 18:00:00,FOMC Minutes,HIGH,USD
1398b2ba-3781-4edc-9ce6-f8dbc7c56f19,08/25/2022 14:00:00,Jackson Hole Symposium,HIGH,USD
ad30c338-c1e4-4e7d-b401-4ce1d2373f9c,08/26/2022 14:00:00,Fed's Chair Powell speech,HIGH,USD
97b28815-be23-410d-8b61-e5a4e3adb3ef,08/26/2022 14:00:00,Jackson Hole Symposium,HIGH,USD
0657b086-3daf-4d67-8638-b57441ee0eed,08/27/2022 14:00:00,Jackson Hole Symposium,HIGH,USD
9dd6bbb6-f83c-4808-bf53-207a001e6031,09/08/2022 13:10:00,Fed's Chair Powell speech,HIGH,USD
6b33eebe-e9e4-439b-abc0-952406b7720c,09/13/2022 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
25199f2d-6174-4962-aa34-e0ac242dda48,09/13/2022 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
f80c96b8-b7dd-4ec6-9805-de67a07698f3,09/21/2022 18:00:00,Fed Interest Rate Decision,HIGH,USD
cd56eba1-1704-42c3-80c2-cce1a9023bd8,09/21/2022 18:00:00,Fed's Monetary Policy Statement,HIGH,USD
3baebad9-7d29-4996-b067-81187e7acc73,09/21/2022 18:00:00,FOMC Economic Projections,HIGH,USD
f3abe192-138f-44a1-a3e6-b21f90cb377c,09/21/2022 18:00:00,Interest Rate Projections - 1st year,HIGH,USD
c7f39d1a-f473-42a9-b33c-ba8fbd2798d6,09/21/2022 18:00:00,Interest Rate Projections - 2nd year,HIGH,USD
61b7a22d-cc26-4aba-8701-d6a3649427cb,09/21/2022 18:00:00,Interest Rate Projections - 3rd year,HIGH,USD
5210fe6e-d9f3-4944-a518-4a76f4e2f925,09/21/2022 18:00:00,Interest Rate Projections - Current,HIGH,USD
2c71426e-e73e-463b-810d-1158e6cc1146,09/21/2022 18:00:00,Interest Rate Projections - Longer,HIGH,USD
d6b47c65-c985-4ee8-ab4d-bd81d2dc421e,09/21/2022 18:30:00,FOMC Press Conference,HIGH,USD
27300cd7-6946-46db-81b9-7dad47bd6e20,09/23/2022 18:00:00,Fed's Chair Powell speech,HIGH,USD
766cfdbd-2939-46d9-ac4f-0cc1cbed0c54,09/27/2022 11:30:00,Fed's Chair Powell speech,HIGH,USD
99236e16-f728-4b3c-aeb1-aa12a952d6ef,09/28/2022 14:15:00,Fed's Chair Powell speech,HIGH,USD
e480a489-0285-4da4-b2de-c93c6157cbbb,10/12/2022 18:00:00,FOMC Minutes,HIGH,USD
8bef177e-0dd3-4d5c-aae2-087ecdc6439c,10/13/2022 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
e7d312da-a33a-4ab6-9e88-ea256d0d79c7,10/13/2022 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
da2f8e6d-8f89-46c9-816d-ca25fc9e12e7,11/02/2022 18:00:00,Fed Interest Rate Decision,HIGH,USD
78602084-4db8-4154-bc93-4159a0b4cf01,11/02/2022 18:00:00,Fed's Monetary Policy Statement,HIGH,USD
b58da065-e1ca-40b9-9e45-f64cc1e0a2f5,11/02/2022 18:30:00,FOMC Press Conference,HIGH,USD
c18ee8fd-31a7-4ba8-b869-c5f75c89194a,11/10/2022 13:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
